id   name                                                      description                        country_iiata_codeicao_codelatitude longitude elevatio
   99High Level                                                High Level                                 4YOJ      CYOJ     58.62139 -117.16472    1110
  100Ottawa Macdonald Cartier Intl                             Ottawa                                     4YOW      CYOW     45.3225  -75.66917      374
  101Prince Albert Glass Field                                 Prince Albert                              4YPA      CYPA     53.21417 -105.67278    1405
  102Peace River                                               Peace River                                4YPE      CYPE     56.22694 -117.44722    1873
  103Southport                                                 Portage-la-prairie                         4YPG      CYPG     49.90306 -98.27389      885
  104Pitt Meadows                                              Pitt Meadows                               4         CYPK     49.21611 -122.71         11
  105Pickle Lake                                               Pickle Lake                                4YPL      CYPL     51.44639 -90.21417     1267
  106Port Menier                                               Port Menier                                4YPN      CYPN     49.83639 -64.28861      167
  107Peterborough                                              Peterborough                               4YPQ      CYPQ     44.23    -78.36333      628
  108Prince Rupert                                             Prince Pupert                              4YPR      CYPR     54.28611 -130.44472     116
  109Fort Chipewyan                                            Fort Chipewyan                             4YPY      CYPY     58.76722 -111.11722     761
  110Muskoka                                                   Muskoka                                    4YQA      CYQA     44.97472 -79.30333      925
  111Quebec Jean Lesage Intl                                   Quebec                                     4YQB      CYQB     46.79111 -71.39333      244
  112Red Deer Regional                                         Red Deer Industrial                        4YQF      CYQF     52.18222 -113.89444    2968
  113Windsor                                                   Windsor                                    4YQG      CYQG     42.27556 -82.95556      622
  114Watson Lake                                               Watson Lake                                4YQH      CYQH     60.11639 -128.8225     2255
  115Kenora                                                    Kenora                                     4YQK      CYQK     49.78833 -94.36306     1332
  116Lethbridge                                                Lethbridge                                 4YQL      CYQL     49.63028 -112.79972    3047
  117Greater Moncton Intl                                      Moncton                                    4YQM      CYQM     46.11222 -64.67861      232
  119Comox                                                     Comox                                      4YQQ      CYQQ     49.71083 -124.88667      84
  120Regina Intl                                               Regina                                     4YQR      CYQR     50.43194 -104.66583    1894
  121Thunder Bay                                               Thunder Bay                                4YQT      CYQT     48.37194 -89.32389      653
  122Grande Prairie                                            Grande Prairie                             4YQU      CYQU     55.17972 -118885.00    2195
  123Yorkton Muni                                              Yorkton                                    4YQV      CYQV     51.26472 -102.46167    1635
  124North Battleford                                          North Battleford                           4YQW      CYQW     52.76917 -108.24361    1799
  125Gander Intl                                               Gander                                     4YQX      CYQX     48.93694 -54.56806      496
  126Sydney                                                    Sydney                                     4YQY      CYQY     46.16139 -60.04778      203
  127Quesnel                                                   Quesnel                                    4YQZ      CYQZ     53.02611 -122.51028    1789
  128Resolute Bay                                              Resolute                                   4YRB      CYRB     74.71694 -94.96944      215
  129Riviere Du Loup                                           Riviere Du Loup                            4YRI      CYRI     47.76444 -69.58472      427
  130Roberval                                                  Roberval                                   4YRJ      CYRJ     48.52    -72.26556      586
  131Rocky Mountain House                                      Rocky Mountain House                       4YRM      CYRM     52.42972 -114.90417    3244
  132Rankin Inlet                                              Rankin Inlet                               4YRT      CYRT     62.81139 -92.11583       94
  133Sudbury                                                   Sudbury                                    4YSB      CYSB      46625.00-80.79889     1141
  134Sherbrooke                                                Sherbrooke                                 4YSC      CYSC     45.43861 -71.69139      792
  135Saint John                                                St. John                                   4YSJ      CYSJ     45.31611 -65.89028      357
  136Fort Smith                                                Fort Smith                                 4YSM      CYSM     60.02028 -111.96194     671
  137Nanisivik                                                 Nanisivik                                  4YSR      CYSR     72.98222 -84.61361     2106
  138Summerside                                                Summerside                                 4YSU      CYSU     46.44056 -63.83361       56
  139Sachs Harbour                                             Sachs Harbour                              4YSY      CYSY     71.99389 -125.2425      282
  140Cape Dorset                                               Cape Dorset                                4YTE      CYTE     64.23    -76.52667      164
  141Thompson                                                  Thompson                                   4YTH      CYTH     55.80111 -97.86417      729
  142Trenton                                                   Trenton                                    4YTR      CYTR     44.11889 -77.52806      283
  143Timmins                                                   Timmins                                    4YTS      CYTS     48.56972 -81.37667      967
  144City Centre                                               Toronto                                    4YTZ      CYTZ     43.6275  -79.39617      251
  145Tuktoyaktuk                                               Tuktoyaktuk                                4YUB      CYUB     69.43333 -133.02639      15
  146Pierre Elliott Trudeau Intl                               Montreal                                   4YUL      CYUL     45.47056 -73.74083      118
  147Repulse Bay                                               Repulse Bay                                4YUT      CYUT     66.52139 -86.22472       80
  148Hall Beach                                                Hall Beach                                 4YUX      CYUX     68.77611 -81.24361       27
  149Rouyn Noranda                                             Rouyn                                      4YUY      CYUY     48.20611 -78.83556      988
  150La Ronge                                                  La Ronge                                   4YVC      CYVC     55.15139 -105.26194    1242
  151Vermilion                                                 Vermillion                                 4YVG      CYVG     53.35583 -110.82389    2025
  152Qikiqtarjuaq                                              Broughton Island                           4YVM      CYVM     67.54583 -64.03139       21
  153Val D Or                                                  Val D'or                                   4YVO      CYVO     48.05333 -77.78278     1107
  154Kuujjuaq                                                  Quujjuaq                                   4YVP      CYVP     58.09611 -68.42694      129
  155Norman Wells                                              Norman Wells                               4YVQ      CYVQ     65.28162 -126.79822     238
  156Vancouver Intl                                            Vancouver                                  4YVR      CYVR     49.19389 -123.18444      14
  157Buffalo Narrows                                           Buffalo Narrows                            4YVT      CYVT     55.84194 -108.4175     1444
  158Wiarton                                                   Wiarton                                    4YVV      CYVV     44.74583 -81.10722      729
  159Petawawa                                                  Petawawa                                   4YWA      CYWA     45.95222 -77.31917      427
  160Winnipeg Intl                                             Winnipeg                                   4YWG      CYWG     49.91004 -97.23989      783
  161Wabush                                                    Wabush                                     4YWK      CYWK     52.92194 -66.86444     1808
  162Williams Lake                                             Williams Lake                              4YWL      CYWL     52.18306 -122.05417    3085
  163Wrigley                                                   Wrigley                                    4YWY      CYWY     63.20944 -123.43667     489
  164Canadian Rockies Intl                                     Cranbrook                                  4YXC      CYXC     49.61222 -115.78194    3084
  165Edmonton City Centre                                      Edmonton                                   4YXD      CYXD     53.5725  -113.52056    2200
  166Saskatoon J G Diefenbaker Intl                            Saskatoon                                  4YXE      CYXE     52.17083 -106.69972    1653
  167Medicine Hat                                              Medicine Hat                               4YXH      CYXH     50.01889 -110.72083    2352
  168Fort St John                                              Fort Saint John                            4YXJ      CYXJ     56.23806 -120.74028    2280
  169Sioux Lookout                                             Sioux Lookout                              4YXL      CYXL     50.11389 -91.90528     1258
  170Pangnirtung                                               Pangnirtung                                4YXP      CYXP      66145.00-65.71361       75
  171Timiskaming Rgnl                                          Earlton                                    4YXR      CYXR      47695.00-79.84889      798
  172Prince George                                             Prince George                              4YXS      CYXS     53.88944 -122.67889    2267
  173Terrace                                                   Terrace                                    4YXT      CYXT     54.46851 -128.57622     713
  174London                                                    London                                     4YXU      CYXU     43.03306 -81.15111      912
  175Abbotsford                                                Abbotsford                                 4YXX      CYXX     49.02528 -122.36056     195
  176Whitehorse Intl                                           Whitehorse                                 4YXY      CYXY     60.70955 -135.06727    2317
  177North Bay                                                 North Bay                                  4YYB      CYYB     46.36361 -79.42278     1215
  178Calgary Intl                                              Calgary                                    4YYC      CYYC     51.11389 -114.02028    3557
  179Smithers                                                  Smithers                                   4YYD      CYYD     54.82472 -127.18278    1712
  180Fort Nelson                                               Fort Nelson                                4YYE      CYYE     58.83639 -122.59694    1253
  181Penticton                                                 Penticton                                  4YYF      CYYF     49.46306 -119.60222    1129
  182Charlottetown                                             Charlottetown                              4YYG      CYYG     46.29    -63.12111      160
  183Taloyoak                                                  Spence Bay                                 4YYH      CYYH     69.54667 -93.57667       92
  184Victoria Intl                                             Victoria                                   4YYJ      CYYJ     48.64694 -123.42583      63
  185Lynn Lake                                                 Lynn Lake                                  4YYL      CYYL     56.86389 -101.07611    1170
  186Swift Current                                             Swift Current                              4YYN      CYYN     50.29194 -107.69056    2680
  187Churchill                                                 Churchill                                  4YYQ      CYYQ     58.73917  -94065.00      94
  188Goose Bay                                                 Goose Bay                                  4YYR      CYYR     53.31917 -60.42583      160
  189St Johns Intl                                             St. John's                                 4YYT      CYYT     47.61861 -52.75194      461
  190Kapuskasing                                               Kapuskasing                                4YYU      CYYU     49.41389 -82.4675       743
  191Armstrong                                                 Armstrong                                  4YYW      CYYW     50.29028 -88.90972     1058
  192Mont Joli                                                 Mont Joli                                  4YYY      CYYY     48.60861 -68.20806      172
  193Lester B Pearson Intl                                     Toronto                                    4YYZ      CYYZ     43.67722 -79.63056      569
  194Downsview                                                 Toronto                                    4YZD      CYZD     43.7425  -79.46556      652
  195Gore Bay Manitoulin                                       Gore Bay                                   4YZE      CYZE     45.88528 -82.56778      635
  196Yellowknife                                               Yellowknife                                4YZF      CYZF     62.46278 -114.44028     675
  197Slave Lake                                                Slave Lake                                 4YZH      CYZH     55.29306 -114.77722    1912
  198Sandspit                                                  Sandspit                                   4YZP      CYZP     53.25433 -131.81383      21
  199Chris Hadfield                                            Sarnia                                     4YZR      CYZR     42.99944 -82.30889      594
  200Port Hardy                                                Port Hardy                                 4YZT      CYZT     50.68056 -127.36667      71
  201Whitecourt                                                Whitecourt                                 4YZU      CYZU     54.14389 -115.78667    2567
  202Sept Iles                                                 Sept-iles                                  4YZV      CYZV     50.22333 -66.26556      180
  203Teslin                                                    Teslin                                     4YZW      CYZW     60.17278 -132.74278    2313
  204Greenwood                                                 Greenwood                                  4YZX      CYZX     44.98444 -64.91694       92
  205Faro                                                      Faro                                       4ZFA      CZFA     62.2075  -133.37583    2351
  206Fort Mcpherson                                            Fort Mcpherson                             4ZFM      CZFM     67.4075  -134.86056     116
  207Blida                                                     Blida                                      5         DAAB     36.50361 2.81417        535
  208Bou Saada                                                 Bou Saada                                  5         DAAD     35.3325  4.20639       1506
  209Soummam                                                   Bejaja                                     5BJA      DAAE      36712.005.06992         20
  210Houari Boumediene                                         Algier                                     5ALG      DAAG     36.69101 3.21541         82
  211Tiska                                                     Djanet                                     5DJG      DAAJ     24.29277 9.45244       3176
  212Boufarik                                                  Boufarik                                   5QFD      DAAK     36.54583 2.87611        335
  213Reggane                                                   Reggan                                     5         DAAN     26.7101  0.28565        955
  214Illizi Takhamalt                                          Illizi                                     5VVZ      DAAP     26.72354 8.62265       1778
  215Ain Oussera                                               Ain Oussera                                5         DAAQ     35.52541 2.87871       2132
  216Tamanrasset                                               Tamanrasset                                5TMR      DAAT     22.81146 5.45108       4518
  217Jijel                                                     Jijel                                      5GJL      DAAV     36.79514 5.87361         36
  218Mecheria                                                  Mecheria                                   5         DAAY     33.53585 -0.24235      3855
  219Relizane                                                  Relizane                                   5         DAAZ     35.75224 0.62627        282
  220Annaba                                                    Annaba                                     5AAE      DABB     36.82222 7.80917         16
  221Mohamed Boudiaf Intl                                      Constantine                                5CZL      DABC     36.27603 6.62039       2265
  222Cheikh Larbi Tebessi                                      Tebessa                                    5TEE      DABS     35.43161 8.12072       2661
  224Hassi R Mel                                               Tilrempt                                   5HRM      DAFH     32.93043 3.31154       2540
  225Bou Chekif                                                Tiaret                                     5TID      DAOB     35.34114 1.46315       3245
  226Bou Sfer                                                  Bou Sfer                                   5         DAOE     35.73539 -0.80539       187
  227Tindouf                                                   Tindouf                                    5TIN      DAOF     27.70037 -8.1671       1453
  228Ech Cheliff                                               Ech-cheliff                                5QAS      DAOI     36.21266 1.33178        463
  229Tafaraoui                                                 Oran                                       5TAF      DAOL     35.54244 -0.53228       367
  230Zenata                                                    Tlemcen                                    5TLM      DAON     35.01667 -1.45          814
  231Es Senia                                                  Oran                                       5ORN      DAOO     35.62386 -0.62118       295
  232Sidi Bel Abbes                                            Sidi Bel Abbes                             5         DAOS     35.17178 -0.59328      1614
  233Ghriss                                                    Ghriss                                     5MUW      DAOV     35.20772 0.14714       1686
  234Touat Cheikh Sidi Mohamed Belkebir                        Adrar                                      5AZR      DAUA     27.83759 -0.18641       919
  235Biskra                                                    Biskra                                     5BSK      DAUB     34.79329 5.73823        289
  236El Golea                                                  El Golea                                   5ELG      DAUE     30.57129 2.85959       1306
  237Noumerat                                                  Ghardaia                                   5GHA      DAUG     32.38411 3.79411       1512
  238Oued Irara                                                Hassi Messaoud                             5HME      DAUH     31.67297 6.14044        463
  239In Salah                                                  In Salah                                   5INZ      DAUI     27.25102 2.51202        896
  240Sidi Mahdi                                                Touggourt                                  5TGR      DAUK     33.0678  6.08867        279
  241Laghouat                                                  Laghouat                                   5LOO      DAUL     33.76438 2.92834       2510
  242Timimoun                                                  Timimoun                                   5TMX      DAUT     29.23712 0.27603       1027
  243Ouargla                                                   Ouargla                                    5OGX      DAUU     31.91722 5.41278        492
  244In Amenas                                                 Zarzaitine                                 5IAM      DAUZ     28.05155 9.64291       1847
  245Cadjehoun                                                 Cotonou                                    6COO      DBBB     6.35723  2.38435         19
  246Ouagadougou                                               Ouagadougou                                7OUA      DFFD     12.35319 -1.51242      1037
  247Bobo Dioulasso                                            Bobo-dioulasso                             7BOY      DFOO     11.16006 -4.33097      1511
  248Kotoka Intl                                               Accra                                      8ACC      DGAA     5.60519  -0.16679       205
  249Tamale                                                    Tamale                                     8TML      DGLE     9.55719  -0.86321       553
  250Wa                                                        Wa                                         8         DGLW     10.08266 -2.50769      1060
  251Sunyani                                                   Sunyani                                    8NYI      DGSN     7.36183  -2.32876      1014
  252Takoradi                                                  Takoradi                                   8TKD      DGTK     4.89606  -1.77476        21
  253Abidjan Felix Houphouet Boigny Intl                       Abidjan                                    9ABJ      DIAP     5.26139  -3.92629        21
  254Bouake                                                    Bouake                                     9BYK      DIBK     7.7388   -5.07367      1230
  255Daloa                                                     Daloa                                      9DJO      DIDL     6.79281  -6.47319       823
  256Korhogo                                                   Korhogo                                    9HGO      DIKO     9.38718  -5.55666      1214
  257Man                                                       Man                                        9MJC      DIMN     7.27207  -7.58736      1089
  258San Pedro                                                 San Pedro                                  9SPY      DISP     4.74672  -6.66082        26
  259Yamoussoukro                                              Yamoussoukro                               9ASK      DIYO     6.90317  -5.36558       699
  260Nnamdi Azikiwe Intl                                       Abuja                                     10ABV      DNAA     9.00679  7.26317       1123
  261Akure                                                     Akure                                     10AKR      DNAK     7.24674  5.30101       1100
  262Benin                                                     Benin                                     10BNI      DNBE     6.31698  5.5995         258
  263Calabar                                                   Calabar                                   10CBQ      DNCA     4.97602  8.3472         210
  264Enugu                                                     Enugu                                     10ENU      DNEN     6.47427  7.56196        466
  265Gusau                                                     Gusau                                     10QUS      DNGU     12.17167 6.69611       1520
  266Ibadan                                                    Ibadan                                    10IBA      DNIB     7.36246  3.97833        725
  267Ilorin                                                    Ilorin                                    10ILR      DNIL     8.44021  4.49392       1126
  268Yakubu Gowon                                              Jos                                       10JOS      DNJO     9.63983  8.86905       4232
  269Kaduna                                                    Kaduna                                    10KAD      DNKA     10.69602 7.32011       2073
  270Mallam Aminu Intl                                         Kano                                      10KAN      DNKN     12.04759 8.52462       1562
  271Maiduguri                                                 Maiduguri                                 10MIU      DNMA     11.85535 13.08095      1099
  272Makurdi                                                   Makurdi                                   10MDI      DNMK     7.70388  8.61394        371
  273Murtala Muhammed                                          Lagos                                     10LOS      DNMM     6.57737  3.32116        135
  274Minna New                                                 Minna                                     10MXJ      DNMN     9.65217  6.46226        834
  275Port Harcourt Intl                                        Port Hartcourt                            10PHC      DNPO     5.01549  6.94959         87
  276Sadiq Abubakar Iii Intl                                   Sokoto                                    10SKO      DNSO     12.91632 5.20719       1010
  277Yola                                                      Yola                                      10YOL      DNYO     9.25755  12.43042       599
  278Zaria                                                     Zaria                                     10ZAR      DNZA     11.13019 7.68581       2170
  279Maradi                                                    Maradi                                    11MFQ      DRRM     13.50253 7.12675       1240
  280Diori Hamani                                              Niamey                                    11NIM      DRRN     13.48155 2.18361        732
  281Tahoua                                                    Tahoua                                    11THZ      DRRT     14.87566 5.26536       1266
  282Manu Dayak                                                Agadez                                    11AJY      DRZA      16966.008.00011       1657
  283Dirkou                                                    Dirkou                                    11         DRZD     18.9687  12.86865      1273
  284Diffa                                                     Diffa                                     11         DRZF     13.37289 12.62669       994
  285Zinder                                                    Zinder                                    11ZND      DRZR      13779.008.98376       1516
  286Habib Bourguiba Intl                                      Monastir                                  12MIR      DTMB     35.75806 10.75472         9
  287Carthage                                                  Tunis                                     12TUN      DTTA     36.85103 10.22722        22
  288Sidi Ahmed Air Base                                       Bizerte                                   12         DTTB     37.24545 9.79145         20
  289Remada                                                    Remada                                    12         DTTD     32.30616 10.38211      1004
  290Gafsa                                                     Gafsa                                     12GAF      DTTF     34.42202 8.8225        1060
  291Gabes                                                     Gabes                                     12GAE      DTTG     33.87692 10.10333        26
  292Borj El Amri                                              Bordj El Amri                             12         DTTI     36.72134 9.94315        108
  293Zarzis                                                    Djerba                                    12DJE      DTTJ     33.87503 10.77546        19
  294El Borma                                                  El Borma                                  12EBM      DTTR     31.70428 9.25462        827
  295Thyna                                                     Sfax                                      12SFA      DTTX     34.71795 10.69097        85
  296Nefta                                                     Tozeur                                    12TOE      DTTZ     33.93972 8.11056        287
  297Niamtougou International                                  Niatougou                                 13LRL      DXNG     9.76733  1.09125       1515
